Age,Taxon,Sex,ParturitionRate,Prolificacy,Mortality
0.17,Goat,Female,0,0,0.225
0.5,Goat,Female,0,0,0.15
1,Goat,Female,0,0,0.075
2,Goat,Female,1.2,1.02,0.125
3,Goat,Female,1.2,1.13,0.125
4,Goat,Female,1.2,1.21,0.075
6,Goat,Female,1.2,1.91,0.075
8,Goat,Female,1.2,1.36,0.15
10,Goat,Female,1.2,1.03,0.5
0.17,Goat,Male,0,0,0.225
0.5,Goat,Male,0,0,0.15
1,Goat,Male,0,0,0.075
2,Goat,Male,0,0,0.15
3,Goat,Male,0,0,0.05
4,Goat,Male,0,0,0.05
6,Goat,Male,0,0,0.05
8,Goat,Male,0,0,0.5
10,Goat,Male,0,0,0.5
0.17,Sheep,Female,0,0,0.16
0.5,Sheep,Female,0,0,0.1067
1,Sheep,Female,0,0,0.053
2,Sheep,Female,1.2,0.99,0.125
3,Sheep,Female,1.2,1.01,0.125
4,Sheep,Female,1.2,1.07,0.075
6,Sheep,Female,1.2,1.08,0.075
8,Sheep,Female,1.2,1.01,0.15
10,Sheep,Female,1.2,1,0.5
0.17,Sheep,Male,0,0,0.16
0.5,Sheep,Male,0,0,0.1067
1,Sheep,Male,0,0,0.053
2,Sheep,Male,0,0,0.1
3,Sheep,Male,0,0,0.05
4,Sheep,Male,0,0,0.05
6,Sheep,Male,0,0,0.05
8,Sheep,Male,0,0,0.5
10,Sheep,Male,0,0,0.5
